Common name,Body mass (g),Metabolic rate (W),Maximum longevity (yrs),R_raw,R_mass_specific,R_allometric_scaled,Predicted_Lifespan,Residual,Relative_Error
Red junglefowl,2710.0,6.005,30.0,6.005,2.215867158671587,0.015987701958634044,19.354671775890143,10.645328224109857,0.3548442741369952
Willow ptarmigan,567.0,2.872,9.0,2.872,5.065255731922399,0.024717078757651008,15.01624499206935,-6.01624499206935,-0.6684716657854833
Grey partridge,501.0,2.1783,5.2,2.1783,4.347904191616767,0.02057024181361546,15.773820517822205,-10.573820517822206,-2.0334270226581164
Western capercaillie,4010.0,11.816,18.0,11.816,2.946633416458853,0.023448345405117327,17.794352252587732,0.205647747412268,0.01142487485623711
"Eurasian coot, or Coot",412.0,2.039,20.6,2.039,4.949029126213593,0.02229689115286871,15.130087534670487,5.469912465329514,0.26552973132667546
Great reed-warbler,21.9,0.257,10.1,0.257,11.7351598173516,0.02538633678084033,11.220815362828372,-1.1208153628283721,-0.11097181810181903
Marsh warbler,10.8,0.203,9.8,0.203,18.796296296296298,0.03407440031463466,9.375035093781168,0.42496490621883254,0.04336376594069719
Sedge warbler,11.5,0.218,11.8,0.218,18.956521739130434,0.034908654774139576,9.343650686847953,2.4563493131520477,0.20816519602983455
Icterine warbler,12.5,0.252,10.8,0.252,20.16,0.03790687917831085,9.118047590138444,1.681952409861557,0.15573633424644046
Long-tailed tit,8.9,0.199,11.1,0.199,22.359550561797754,0.038619849002681964,8.74635436980361,2.3536456301963895,0.2120401468645396
Bushtit,5.5,0.122375,9.1,0.122375,22.25,0.034073809238897745,8.763761635342814,0.33623836465718604,0.036949270841449014
Eurasian skylark,31.7,0.722,10.1,0.722,22.77602523659306,0.054043410849716235,8.681144824743967,1.4188551752560326,0.14048071042138938
Horned lark,26.0,0.3133,8.0,0.3133,12.05,0.02721011541545637,11.111658806196477,-3.111658806196477,-0.3889573507745596
Wood lark,25.5,0.572,6.0,0.572,22.431372549019606,0.05040700493658304,8.735000219351797,-2.7350002193517966,-0.4558333698919661
Bohemian waxwing,72.5,0.9566,13.5,0.9566,13.19448275862069,0.03850143101603821,10.742456407712291,2.7575435922877087,0.20426248831760804
Northern cardinal,41.0,0.5163,28.5,0.5163,12.592682926829267,0.03186502272265648,10.931465362109225,17.568534637890775,0.6164398118558166
Common raven,1203.0,5.5656,69.0,5.5656,4.62643391521197,0.027246628471237162,15.463333038773596,53.5366669612264,0.775893724075745
Carrion crow,518.0,3.3531,19.2,3.3531,6.473166023166023,0.030881556799119393,13.842557542364336,5.357442457635663,0.2790334613351908
Chihuahuan raven,640.0,3.86705,21.8,3.86705,6.042265625,0.03039098715159622,14.166809019070508,7.633190980929493,0.3501463752719951
Rook,390.0,2.6433,23.8,2.6433,6.777692307692307,0.030119516826857394,13.62853176824062,10.17146823175938,0.42737261477980587
Eurasian jay,153.0,1.39997,17.9,1.39997,9.150130718954248,0.03218104600195491,12.278121525206188,5.62187847479381,0.3140714231728386
Spotted nutcracker,147.0,1.346,19.9,1.346,9.156462585034015,0.03188284433929026,12.275103537208661,7.624896462791337,0.3831606262709215
Black-billed magpie,158.9,1.196,20.0,1.196,7.5267463813719315,0.026723187369998718,13.14760940237661,6.8523905976233905,0.3426195298811695
Yellow-billed magpie,151.9,1.471,10.0,1.471,9.684002633311389,0.03399729332639757,12.032170866125982,-2.0321708661259823,-0.20321708661259824
Yellowhammer,26.8,0.436,13.2,0.436,16.268656716417908,0.03701565116681031,9.919179655975574,3.2808203440244252,0.24854699575942618
Ortolan bunting,27.0,0.407,6.8,0.407,15.074074074074073,0.03436145822891091,10.214280050771903,-3.414280050771903,-0.5021000074664563
Reed bunting,17.6,0.3,12.2,0.3,17.045454545454543,0.03491296667333336,9.741337007705038,2.458662992294961,0.2015297534668001
White-rumped munia,10.3,0.21538,10.0,0.21538,20.910679611650483,0.03746083504732759,8.985696842832587,1.0143031571674133,0.10143031571674133
Common redpoll,14.0,0.2888,12.2,0.2888,20.62857142857143,0.03990259701237878,9.034725660808414,3.165274339191585,0.25944871632717914
Common rosefinch,21.6,0.358,9.0,0.358,16.574074074074073,0.03573079780077337,9.848023351327887,-0.8480233513278872,-0.09422481681420969
Chaffinch,21.0,0.373,29.0,0.373,17.76190476190476,0.03802282325296052,9.586018856450437,19.413981143549563,0.6694476256396401
Brambling,21.0,0.383,14.8,0.383,18.238095238095237,0.03904220189245008,9.487038269268957,5.312961730731043,0.35898390072507047
Cassin's finch,27.4,0.339,7.0,0.339,12.37226277372263,0.028306539263401844,11.003485122052462,-4.003485122052462,-0.5719264460074945
House finch,20.4,0.3108,11.6,0.3108,15.235294117647062,0.032378623704604634,10.172793530543341,1.4272064694566584,0.12303504047040159
Evening grosbeak,54.5,0.7294,17.0,0.7294,13.383486238532111,0.036363726466041434,10.685270064121418,6.314729935878582,0.3714547021105048
Apapane,13.5,0.3,11.0,0.3,22.22222222222222,0.0425962069497515,8.768192591295499,2.2318074087045012,0.2028915826095001
Red crossbill,39.4,0.607,16.1,0.607,15.406091370558377,0.03859815312531141,10.129430635073037,5.970569364926964,0.37084281769732697
White-winged crossbill,29.8,0.46992,4.0,0.46992,15.769127516778523,0.036843572213829376,10.03920586443703,-6.0392058644370294,-1.5098014661092574
House canary,13.3,0.230065,24.0,0.230065,17.29812030075188,0.03303405011832603,9.685649852667948,14.314350147332052,0.5964312561388355
Pine siskin,14.0,0.3003,11.0,0.3003,21.45,0.04149151621474151,8.894236358913563,2.105763641086437,0.19143305828058518
American goldfinch,13.6,0.4108,13.0,0.4108,30.205882352941178,0.05800644548930005,7.7223119309682,5.2776880690318,0.4059760053101385
Barn swallow,18.0,0.3158,16.0,0.3158,17.544444444444448,0.036137470224770436,9.632325825228978,6.367674174771022,0.39797963592318886
Bank swallow,13.6,0.2328,10.1,0.2328,17.117647058823533,0.032872201825484546,9.725321682812513,0.37467831718748634,0.037096863087869934
Baltimore oriole,37.5,0.5052,14.0,0.5052,13.472,0.03333802677786466,10.658828945691361,3.3411710543086386,0.2386550753077599
Brown-headed cowbird,42.5,0.6315,16.9,0.6315,14.858823529411762,0.037938631162237765,10.270533070792226,6.629466929207773,0.3922761496572647
Red-backed shrike,27.0,0.383,10.1,0.383,14.185185185185185,0.032335229733839996,10.453296588344854,-0.353296588344854,-0.03497986023216376
Northern shrike,72.4,0.8161,12.0,0.8161,11.272099447513812,0.032880578750418624,11.38803608738276,0.6119639126172398,0.05099699271810332
Meadow pipit,18.9,0.3,13.1,0.3,15.873015873015872,0.03309595379629172,10.013859061267937,3.086140938732063,0.23558327776580634
Tree pipit,19.7,0.339,8.8,0.339,17.20812182741117,0.03625350733076621,9.705368745705446,-0.9053687457054451,-0.10288281201198239
White wagtail,18.0,0.3,13.7,0.3,16.666666666666668,0.03432945239845196,9.826771966890265,3.8732280331097346,0.28271737467954267
Yellow wagtail,14.7,0.257,8.8,0.257,17.482993197278912,0.034233012783838675,9.645541140781958,-0.8455411407819575,-0.09608422054340425
European robin,17.6,0.281,19.3,0.281,15.965909090909092,0.03270181211735558,9.99136830281051,9.30863169718949,0.4823125231704399
European pied flycatcher,11.7,0.232,15.0,0.232,19.829059829059833,0.03667318156231619,9.178371618656364,5.821628381343636,0.3881085587562424
Spotted flycatcher,14.4,0.2476,11.8,0.2476,17.194444444444443,0.03349490661318104,9.708376720562521,2.0916232794374796,0.1772562101218203
Black-capped chickadee,10.3,0.252,12.4,0.252,24.466019417475728,0.043830116222149475,8.431181019679036,3.9688189803209646,0.3200660468000778
Common yellowthroat,10.6,0.17622,11.5,0.17622,16.62452830188679,0.02999686012246268,9.836425129834902,1.6635748701650979,0.14465868436218243
Orange-crowned warbler,9.3,0.151745,8.6,0.151745,16.316666666666663,0.0284939185515325,9.90788497992408,-1.307884979924081,-0.15207964882838151
Black-and-white warbler,8.2,0.12727,12.2,0.12727,15.520731707317074,0.02626428938102537,10.100657354943218,2.0993426450567814,0.17207726598826079
Northern waterthrush,18.7,0.28391,8.9,0.28391,15.182352941176472,0.03157181030927948,10.18635671655974,-1.2863567165597392,-0.14453446253480215
Prothonotary warbler,12.8,0.1994,8.1,0.1994,15.578124999999998,0.029465762005505197,10.086350983734016,-1.9863509837340168,-0.24522851651037245
Ovenbird,19.0,0.24475,11.0,0.24475,12.881578947368421,0.026894129996069962,10.839378639681376,0.16062136031862373,0.014601941847147611
Northern parula,7.0,0.122375,7.0,0.122375,17.482142857142858,0.028436043819680932,9.64572441486272,-2.6457244148627197,-0.3779606306946742
Black-throated blue warbler,9.4,0.18601,10.0,0.18601,19.788297872340426,0.034648975869103794,9.18588887940231,0.8141111205976905,0.08141111205976906
Hooded warbler,12.0,0.21538,8.2,0.21538,17.94833333333333,0.033405612425568366,9.546878473149516,-1.3468784731495163,-0.16425347233530688
Yellow-rumped (myrtle) warbler,11.5,0.1895,10.0,0.1895,16.47826086956522,0.030344908622474537,9.870169634094903,0.12983036590509656,0.012983036590509655
Yellow-throated warbler,9.8,0.1604,6.1,0.1604,16.367346938775505,0.028959083102036494,9.896006733711593,-3.796006733711593,-0.6222961858543595
"Palm warbler, or Western palm warbler",9.8,0.1554,6.6,0.1554,15.857142857142856,0.0280563685414992,10.017718456436583,-3.4177184564365835,-0.5178361297631188
Pine warbler,12.0,0.1795,10.2,0.1795,14.958333333333332,0.02784059536813781,10.24440313751492,-0.0444031375149212,-0.004353248775972667
Blue-winged warbler,7.8,0.1505,9.0,0.1505,19.294871794871796,0.03224523511382139,9.278451382222265,-0.27845138222226495,-0.03093904246914055
Grasshopper sparrow,13.8,0.1796,9.1,0.1796,13.014492753623188,0.025084013020228724,10.797859035727456,-1.697859035727456,-0.18657791601400614
Black-throated sparrow,11.6,0.1988,6.0,0.1988,17.13793103448276,0.03162808433394637,9.720836951984493,-3.7208369519844933,-0.6201394919974156
Dark-eyed junco,18.0,0.2959,11.3,0.2959,16.43888888888889,0.03386028321567312,9.87931645972039,1.4206835402796099,0.12572420710439025
Swamp sparrow,14.9,0.211,7.8,0.211,14.161073825503355,0.027822282370392203,10.460035716166473,-2.6600357161664734,-0.34103022002134276
Song sparrow,19.1,0.25,11.3,0.25,13.089005235602093,0.02736308019304432,10.774809914786978,0.5251900852130227,0.046476998691417935
Abert's towhee,46.6,0.73425,8.6,0.73425,15.756437768240342,0.04116750222798567,10.042316096495062,-1.4423160964950625,-0.1677111740110538
Canyon towhee,43.7,0.670615,12.8,0.670615,15.345881006864987,0.039455921019129946,10.144648995329238,2.655351004670763,0.20744929723990335
Savannah sparrow,15.9,0.221,18.0,0.221,13.89937106918239,0.027755204428983823,10.534103743978653,7.465896256021347,0.41477201422340815
Vesper sparrow,21.5,0.27412,7.9,0.27412,12.749767441860465,0.02745439502576258,10.881076465576315,-2.981076465576315,-0.37735145133877407
Chipping sparrow,11.9,0.1945,11.8,0.1945,16.34453781512605,0.03035703732561363,9.901346993172485,1.8986530068275158,0.1609027971887725
White-throated sparrow,20.2,0.278,14.9,0.278,13.762376237623764,0.02917637073825392,10.573564831720809,4.3264351682791915,0.2903647763945766
White-crowned sparrow,26.1,0.336,13.3,0.336,12.873563218390805,0.029097715740801108,10.84189939139864,2.4581006086013613,0.1848195946316813
Harris's sparrow,33.3,0.4552,11.7,0.4552,13.669669669669672,0.03283742381908044,10.600544141067388,1.099455858932611,0.09397058623355652
Eurasian tree sparrow,17.5,0.2007,13.1,0.2007,11.468571428571426,0.023456803836842115,11.316079725103261,1.7839202748967384,0.13617712022112508
"Common chiffchaff, or Eurasian chiffchaff",8.2,0.165,8.0,0.165,20.121951219512198,0.03405050481550394,9.124919840326502,-1.124919840326502,-0.14061498004081274
Willow warbler,10.7,0.208,11.8,0.208,19.439252336448597,0.035158108470427836,9.251063097862593,2.5489369021374078,0.21601160187605148
Hedge sparrow,16.8,0.325,20.8,0.325,19.34523809523809,0.03916529478445688,9.268868122641123,11.531131877358877,0.5543813402576383
Goldcrest,5.5,0.184,7.0,0.184,33.45454545454545,0.05123253033672879,7.393211504269268,-0.3932115042692681,-0.05617307203846687
Crested myna,109.4,1.2092,13.0,1.2092,11.053016453382083,0.0357466334478318,11.470100290117303,1.529899709882697,0.11768459306789977
European starling,75.0,0.877,22.9,0.877,11.693333333333333,0.03441150331663518,11.235586031525463,11.664413968474536,0.5093630553919012
Garden warbler,24.8,0.416,24.0,0.416,16.774193548387096,0.03743299446238406,9.802276159437438,14.197723840562562,0.5915718266901068
Lesser whitethroat,10.6,0.199,9.0,0.199,18.77358490566038,0.033874561141584804,9.379510750769999,-0.37951075076999885,-0.04216786119666654
Winter wren,9.0,0.213,7.0,0.213,23.666666666666668,0.04099186911246343,8.546602403972374,-1.5466024039723738,-0.22094320056748198
Western bluebird,27.5,0.423,8.7,0.423,15.381818181818181,0.03522417637012444,10.135556893148557,-1.4355568931485578,-0.165006539442363
Redwing,58.0,0.722,18.8,0.722,12.448275862068964,0.03435312126230875,10.978472285448564,7.821527714551436,0.41603870822082106
Song thrush,62.8,0.726,17.7,0.726,11.560509554140127,0.032543697011987505,11.282923092371469,6.41707690762853,0.3625467179451147
Eastern wood pewee,13.9,0.2576,8.2,0.2576,18.532374100719423,0.035783659981946055,9.427466420639002,-1.2274664206390025,-0.14969102690719543
Acadian flycatcher,12.3,0.1795,12.1,0.1795,14.593495934959348,0.02732974750488749,10.341274220496164,1.7587257795038358,0.14534923797552363
Great crested flycatcher,33.9,0.384,14.9,0.384,11.327433628318584,0.027332631783185304,11.367616421631206,3.532383578368794,0.23707272338045596
Eastern phoebe,21.6,0.3449,10.3,0.3449,15.967592592592592,0.03442333006001882,9.990962200241832,0.30903779975816903,0.030003669879433884
Eastern kingbird,35.7,0.4372,11.1,0.4372,12.246498599439775,0.0299349813006852,11.04528525671725,0.05471474328274972,0.004929256151599074
American bittern,600.0,2.7412,8.3,2.7412,4.568666666666667,0.02261139128154261,15.525892172538255,-7.225892172538254,-0.8705894183781028
Acorn woodpecker,73.0,0.737,17.2,0.737,10.095890410958905,0.029510416754175765,11.85338515928978,5.3466148407102185,0.3108497000412918
Downy woodpecker,21.7,0.383,11.9,0.383,17.649769585253456,0.038093771602563796,9.609808724163706,2.2901912758362943,0.19245304838960456
Wandering albatross,8130.0,20.3649,50.0,20.3649,2.5049077490774905,0.023785614324400545,18.675368515581944,31.324631484418056,0.6264926296883612
Laysan albatross,2522.0,7.462,70.0,7.462,2.9587628865979383,0.020967489443097575,17.77235014799434,52.227649852005655,0.7461092836000808
Grey-headed albatross,3753.0,8.5312,47.2,8.5312,2.273168132160938,0.017792058591374647,19.21222555820052,27.987774441799484,0.5929613229194806
Bulwer's petrel,87.0,0.513975,22.9,0.513975,5.9077586206896555,0.018042742694633438,14.273695040976092,8.626304959023907,0.37669453969536715
Port Lincoln ringneck,137.0,0.718,17.9,0.718,5.240875912408758,0.017930153966648456,14.849948537820902,3.0500514621790966,0.17039393643458642
Sulphur-crested cockatoo,776.1,3.419,57.0,3.419,4.40536013400335,0.023252028051348943,15.70789540466905,41.29210459533095,0.724422887637385
Galah,268.7,1.248,40.0,1.248,4.644585039077038,0.018804588556573198,15.443865583595315,24.556134416404685,0.6139033604101172
Budgerigar,25.2,0.3035,21.0,0.3035,12.043650793650793,0.026984121883014238,11.11382550633302,9.88617449366698,0.47077021398414187
Monk parakeet,80.4,0.5189,22.1,0.5189,6.453980099502488,0.01932598482248428,13.856442073165447,8.243557926834555,0.37301167089749115
King penguin,13270.0,25.889,27.0,25.889,1.950941974378297,0.020939296346383408,20.072820385479204,6.927179614520796,0.25656220794521467
Northern saw-whet owl,124.0,0.654,17.5,0.654,5.274193548387097,0.01759995204374928,14.819142376768909,2.6808576232310912,0.1531918641846338
Long-eared owl,252.0,0.954,27.8,0.954,3.7857142857142856,0.015083355571264537,16.478181707308465,11.321818292691535,0.40725965081624227
Snowy owl,2026.0,4.2244,28.0,4.2244,2.085093780848964,0.0139889607996812,19.696156466953468,8.303843533046532,0.2965658404659476
Great horned owl,1450.0,5.2442,29.0,5.2442,3.616689655172414,0.022317895745214308,16.714145073148185,12.285854926851815,0.4236501698914419
Eastern screech-owl,166.0,0.586,20.7,0.586,3.5301204819277103,0.012671165110450432,16.84002538629113,3.859974613708868,0.1864722035608149
Elf owl,45.9,0.259435,14.0,0.259435,5.652178649237474,0.014711909733810816,14.484983446789688,-0.48498344678968763,-0.03464167477069197
Spotted owl,571.0,2.675,25.0,2.675,4.684763572679509,0.02290059177863523,15.401089580791876,9.598910419208124,0.383956416768325
Ostrich,100000.0,69.6339,50.0,69.6339,0.6963389999999999,0.012382853061070936,26.323739166191203,23.676260833808797,0.4735252166761759
Anhinga,1040.0,3.2258,16.4,3.2258,3.101730769230769,0.017614180121654145,17.52061205187787,-1.1206120518778704,-0.06833000316328479
Double-crested cormorant,1330.0,5.6096,22.5,5.6096,4.217744360902255,0.02547083389696039,15.927020158198983,6.572979841801017,0.2921324374133785
Masked booby,1289.0,5.5209,25.5,5.5209,4.283087664856478,0.025663754539661934,15.849428387803133,9.650571612196867,0.37845378871360263
Lesser hedgehog tenrec,116.4,0.75,19.0,0.75,6.443298969072165,0.021163940317931507,13.864193154804681,5.135806845195319,0.2703056234313326
Streaked tenrec,116.4,0.38,2.7,0.38,3.2646048109965635,0.01072306309441863,17.24969402638903,-14.54969402638903,-5.38877556532927
Dobson's shrew tenrec,44.6,0.315,5.6,0.315,7.062780269058296,0.018251955857426443,13.438323276740068,-7.838323276740068,-1.3997005851321551
Talazac's shrew tenrec,44.0,0.243,5.8,0.243,5.5227272727272725,0.014223836981523613,14.596368364142025,-8.796368364142026,-1.5166152351969011
Greater hedgehog tenrec,427.6,0.573,14.1,0.573,1.3400374181478014,0.006093633772501323,22.2639934651448,-8.1639934651448,-0.5790066287336738
"Tailess tenrec, or Tenrec",650.0,0.729,8.7,0.729,1.1215384615384614,0.005662947179801525,23.33873050804314,-14.638730508043142,-1.6826127020739245
Pronghorn,34779.3,50.973,17.0,50.973,1.4656131664524585,0.020014722221991726,21.73182181741883,-4.73182181741883,-0.27834245984816647
Domestic cattle,347000.0,306.77,20.0,306.77,0.8840634005763688,0.02145684086393558,24.809949114527967,-4.809949114527967,-0.24049745572639836
Blue wildebeest,196500.0,230.073,24.3,230.073,1.1708549618320612,0.02465152207712545,23.07682609912958,1.223173900870421,0.0503363745214165
Waterbuck,100000.0,148.949,30.0,148.949,1.4894900000000002,0.026487293984588756,21.636445890533185,8.363554109466815,0.2787851369822272
Kirk's dik-dik,4290.0,11.966,17.3,11.966,2.789277389277389,0.022573870504055977,18.08963362330925,-0.7896336233092498,-0.04564356204099709
Mountain goat,32000.0,46.414,20.8,46.414,1.4504375,0.019399320321984784,21.793354658501897,-0.9933546585018966,-0.047757435504898874
Bighorn sheep,67030.8,114.674,20.6,114.674,1.7107657972156085,0.02752701754208953,20.82701761825497,-0.22701761825496902,-0.011020272730823738
Blue duiker,4200.0,10.075,15.9,10.075,2.3988095238095237,0.019311147765879062,18.91377339271489,-3.0137733927148904,-0.18954549639716292
Steenbok,9600.0,20.619,9.3,20.619,2.1478125,0.021260044726494193,19.529420353774835,-10.229420353774834,-1.099937672448907
Eland,141404.0,190.209,26.1,190.209,1.3451458233147577,0.026084636629894825,22.241268904547866,3.8587310954521357,0.14784410327402817
