filename,group,slice,pace_hz,plv,lag_ms,sigmamu,vm_snr,ca_snr,hysteresis_width_mean,hysteresis_width_std,hysteresis_n_cycles,quality_flag,roi,original_plv,original_lag_ms,original_assignment,lag_ms_reprocessed_bad,condition,frequency,base,plv_beat_mean,plv_beat_sd,plv_beat_cv,lag_beat_mean,lag_beat_sd,lag_beat_cv,ec_coupling_gain,ec_gain_r,ec_gain_n_beats,ca_ttp_ms,ca_t50_ms,ca_t90_ms,ca_tau_ms,vm_upstroke,vm_apd50_ms,vm_apd90_ms
.\11931666\slice1 16Hz inte3.0 15V.tif,Sham,1,16.0,0.5374720026496058,46.0,1.7053865153540453,6.309040721907423,16.006397210961914,0.1658208130614714,0.1086230928234638,15,EXTREME_LAG,"(np.int64(58), np.int64(122), np.int64(23), np.int64(87))",0.5770560433849384,46.0,standard,-2928.0,Sham,16.0,slice1_16Hz_inte3_0_15V,0.8061180391850813,0.14661005037519645,0.181871690309036,1.4814814814814814,1.9684115104936455,1.3286777695832108,0.8919843125930496,0.925996717291114,27,40.0,8.0,20.0,4226.503489973645,4577.5146484375,44.0,72.0
.\11931666\slice1 2Hz inte3.0 15V.tif,Sham,1,2.0,0.444425941832821,490.0,0.6759757247324132,3.989718757755241,16.222681481393554,0.1716781333144795,0.0967423308465975,3,LOW_SNR,"(np.int64(58), np.int64(122), np.int64(22), np.int64(86))",0.9171622414836575,490.0,standard,-108.0,Sham,2.0,slice1_2Hz_inte3_0_15V,0.5671979233123091,0.2702435745321354,0.47645374467165413,-17.666666666666668,60.168450405859915,3.4057613437279195,1.0447297509565197,0.9736659715365436,12,226.0,8.0,32.0,2.616519618389753,4804.6875,264.0,414.0
.\11931666\slice1 4Hz inte3.0 15V.tif,Sham,1,4.0,0.6863431956421884,54.0,0.5815136592174588,7.474904894795741,16.326566901102893,0.1868270080378145,0.139818868743205,8,USABLE,"(np.int64(57), np.int64(121), np.int64(21), np.int64(85))",0.5645933118267746,54.0,standard,0.0,Sham,4.0,slice1_4Hz_inte3_0_15V,0.7891587315589966,0.25205678744342025,0.319399351947203,-7.764705882352941,28.44189122527875,3.662970839619233,0.9427294270380989,0.9806138311381891,17,132.0,8.0,32.0,90.9649315093635,5680.35888671875,164.0,288.0
.\11931666\slice1 8Hz inte3.0 15V.tif,Sham,1,8.0,0.6609664385305747,86.0,0.9854684098261924,3.845473868928004,15.909279864375783,0.2004725689722123,0.1200047308960001,23,LOW_SNR,"(np.int64(58), np.int64(122), np.int64(21), np.int64(85))",0.4849272251671352,86.0,standard,-84.0,Sham,8.0,slice1_8Hz_inte3_0_15V,0.6672565815739054,0.3149861448386065,0.47206150308120803,4.5,14.98083882547615,3.3290752945502557,1.025325603287137,0.9802756664983371,48,50.0,4.0,8.0,269589870.6518762,3918.426513671875,60.0,96.0
.\11931666\slice10 16Hz inte3.0 15V.tif,Sham,10,16.0,0.5448343110872672,42.0,0.579882101879181,7.790408716670873,16.33095607266417,0.1888237946350301,0.088310115376484,13,USABLE,"(np.int64(39), np.int64(103), np.int64(6), np.int64(70))",0.4290622104995683,42.0,standard,-124.0,Sham,16.0,slice10_16Hz_inte3_0_15V,0.8543344652680342,0.2156706162308742,0.25244283708396437,0.0975609756097561,7.924029524329085,81.22130262437312,1.021669694525005,0.982953741296404,41,36.0,8.0,10.0,502501473.98827267,7956.35986328125,84.0,124.0
.\11931666\slice10 2Hz inte3.0 15V.tif,Sham,10,2.0,0.4749291669690172,58.0,0.3760928845803377,7.66411522688572,16.200175662999293,0.3727229769378419,0.2036800639180477,8,USABLE,"(np.int64(42), np.int64(106), np.int64(6), np.int64(70))",0.320026398227468,58.0,standard,-176.0,Sham,2.0,slice10_2Hz_inte3_0_15V,0.6854503805880532,0.3628488722624665,0.5293583351010406,-26.22222222222222,83.18920870187698,3.1724698233766646,0.952535329184837,0.9777128317072772,9,348.0,16.0,28.0,16.988613537205335,9415.4052734375,312.0,376.0
.\11931666\slice10 4Hz inte3.0 15V.tif,Sham,10,4.0,0.845376102149503,74.0,0.7794189884360397,11.919073818720008,17.9697153957654,0.4870696274250214,0.0430251542442208,3,USABLE,"(np.int64(42), np.int64(106), np.int64(5), np.int64(69))",0.5251593688401234,74.0,standard,4.0,Sham,4.0,slice10_4Hz_inte3_0_15V,0.737728342235352,0.31152966667164617,0.42228236172639977,-4.235294117647059,47.380810213319364,11.187135744811517,1.0159372010988115,0.9861201304466103,17,172.0,6.0,10.0,13.205629888926582,9841.97998046875,204.0,228.0
.\11931666\slice10 8Hz inte3.0 15V.tif,Sham,10,8.0,0.5052096263700626,86.0,0.4212098680816519,6.628952691300302,16.060077294902392,0.1414557072352913,0.1137074711765187,29,USABLE,"(np.int64(39), np.int64(103), np.int64(5), np.int64(69))",0.4545642458929752,86.0,standard,-168.0,Sham,8.0,slice10_8Hz_inte3_0_15V,0.8205992867076537,0.2623900131866341,0.31975413266489106,-0.5517241379310345,11.599218590973368,21.02358369613923,1.0799743260503658,0.9233436594534072,29,80.0,14.0,18.0,735.978116547343,9574.0966796875,124.0,168.0
.\11931666\slice11 16Hz inte3.0 15V.tif,Sham,11,16.0,0.515400388743109,46.0,0.4720362115720694,6.880818827793879,16.15656774034735,0.2364327162757203,0.1225600335711918,29,USABLE,"(np.int64(77), np.int64(141), 0, np.int64(47))",0.5230496169043957,46.0,standard,-144.0,Sham,16.0,slice11_16Hz_inte3_0_15V,0.7857934113958256,0.28403614084948015,0.3614641415037309,1.1538461538461537,6.548116374523183,5.675034191253427,1.0318679436574727,0.9805951847378689,52,12.0,8.0,12.0,386512516.4357759,8230.92586436178,74.0,96.0
.\11931666\slice11 2Hz inte3.0 15V.tif,Sham,11,2.0,0.6834193750567233,50.0,0.5364466860600394,4.511251266965376,16.382098880671652,0.208068648760633,0.1615249591265239,9,LOW_SNR,"(np.int64(92), 150, 0, np.int64(55))",0.5884710255765192,50.0,standard,0.0,Sham,2.0,slice11_2Hz_inte3_0_15V,0.8798371772023612,0.18316950500454512,0.20818568452287214,1.3333333333333333,2.0,1.5,1.0305695259314807,0.9424451287052027,9,196.0,16.0,16.0,9.463140539218951,8898.86474609375,376.0,460.0
.\11931666\slice11 4Hz inte3.0 15V.tif,Sham,11,4.0,0.5803790476168119,54.0,0.4576911303197754,9.289459872672008,16.475504094432196,0.4868528141812305,0.2524910908205949,6,USABLE,"(np.int64(23), np.int64(87), np.int64(8), np.int64(72))",0.5302246257354829,54.0,standard,0.0,Sham,4.0,slice11_4Hz_inte3_0_15V,0.8255014893380828,0.23906575938065008,0.2896006396939898,0.9230769230769231,1.7541160386140584,1.9002923751652299,1.0267168988321747,0.9908227524746829,13,168.0,16.0,16.0,13.219974035124958,7676.025390625,252.0,332.0
.\11931666\slice11 8Hz inte3.0 15V.tif,Sham,11,8.0,0.4039664953463944,119.0,0.3658834719370643,5.982789447412031,15.977048326574192,0.342140341682526,0.1073988667362422,27,LOW_SNR,"(np.int64(23), np.int64(87), np.int64(10), np.int64(74))",0.7423474112125256,119.0,standard,-164.0,Sham,8.0,slice11_8Hz_inte3_0_15V,0.7987233676164213,0.2786842354769757,0.34891208492952336,2.5714285714285716,16.165520152839086,6.286591170548533,0.9056650016086927,0.8463603557194289,42,16.0,8.0,12.0,1027121343.2222222,6326.171875,92.0,142.0
.\11931666\slice12 16Hz inte3.0 15V.tif,Sham,12,16.0,0.4551762215468801,86.0,0.5545179505584696,7.158837332924316,16.253205178497062,0.1372226839813139,0.176896463298742,6,USABLE,"(np.int64(18), np.int64(82), np.int64(4), np.int64(68))",0.6772871099017369,86.0,standard,-164.0,Sham,16.0,slice12_16Hz_inte3_0_15V,0.8211317730085921,0.26535763214693403,0.32316083833253084,2.4347826086956523,6.978227007909175,2.866057521105554,1.0541686614472718,0.895004983269207,46,40.0,8.0,8.0,132833209.3432644,7478.82080078125,104.0,130.0
.\11931666\slice12 4Hz inte3.0 15V.tif,Sham,12,4.0,0.6161885136978735,244.0,0.4687331123382195,16.348007853324468,7.991927053285233,0.3312246672802018,0.1363995993451517,16,USABLE,"(np.int64(57), np.int64(121), 0, np.int64(63))",0.6684847380806923,244.0,swapped,0.0,Sham,4.0,slice12_4Hz_inte3_0_15V,0.787572086113932,0.2892591684380035,0.3672796097501081,10.571428571428571,32.707830833031366,3.0939839977191834,0.9552437058645415,0.9782096977114786,14,18.0,12.0,28.0,8.509015928917824,10322.885664682644,314.0,358.0
.\11931666\slice12 8Hz inte3.0 15V.tif,Sham,12,8.0,0.6159192909394032,82.0,0.5585392674660614,6.30844003250459,16.256524006580037,0.363286537948106,0.1309039481137114,29,USABLE,"(np.int64(20), np.int64(84), np.int64(5), np.int64(69))",0.5640243047216795,82.0,standard,0.0,Sham,8.0,slice12_8Hz_inte3_0_15V,0.8087890822388296,0.310642213665621,0.3840830946997014,-1.641025641025641,13.87820551779163,8.457031487404274,0.8670802915533331,0.9052748682506871,39,48.0,8.0,8.0,3248884900.6560373,8616.19438559319,116.0,152.0
.\11931666\slice13 16Hz inte3.0 15V.tif,Sham,13,16.0,0.7084008616669188,66.0,1.4110968790381742,10.325766392590772,16.71226222919219,0.247478308087344,0.2018764310239173,23,USABLE,"(np.int64(63), np.int64(127), np.int64(11), np.int64(75))",0.3457972746524321,66.0,standard,0.0,Sham,16.0,slice13_16Hz_inte3_0_15V,0.8376699584715895,0.2607129735098293,0.31123591203572054,1.0476190476190477,1.7800024794773215,1.699093275864716,0.9794080125158654,0.9623699006539911,42,60.0,8.0,12.0,124796336.68296827,8919.647216796875,110.0,140.0
.\11931666\slice13 2Hz inte3.0 15V.tif,Sham,13,2.0,0.5569212547630025,102.0,0.4107701738147717,7.811072481962801,16.306463281534857,0.2756825300381869,0.1626636522353624,11,USABLE,"(np.int64(63), np.int64(127), np.int64(10), np.int64(74))",0.3993259710659618,102.0,standard,0.0,Sham,2.0,slice13_2Hz_inte3_0_15V,0.7486851020716871,0.34532029210074283,0.46123569327773023,-3.6666666666666665,16.57672702278344,4.520925551668212,0.931410145198242,0.9115287412355536,12,352.0,4.0,16.0,11.726507356249865,12074.005126953125,364.0,430.0
.\11931666\slice13 4Hz inte3.0 15V.tif,Sham,13,4.0,0.5176973169863218,66.0,0.3072852732090189,8.418982273462758,16.125131888381084,0.2923763452699272,0.1583753928651182,21,EXTREME_LAG,"(np.int64(9), np.int64(73), np.int64(10), np.int64(74))",0.2960859047281297,66.0,standard,-2684.0,Sham,4.0,slice13_4Hz_inte3_0_15V,0.7672801424148712,0.2942066728284718,0.3834410100885853,1.1764705882352942,1.8786728732554485,1.5968719422671311,1.0098043528687186,0.9958074581213615,17,176.0,4.0,22.0,198.32113169214188,11310.546875,164.0,188.0
.\11931666\slice13 8Hz inte3.0 15V.tif,Sham,13,8.0,0.6559333517811966,2078.0,0.6714619945238098,7.302584055388915,16.473327314354897,0.3436950590148977,0.1101876548756475,37,USABLE,"(np.int64(61), np.int64(125), np.int64(9), np.int64(73))",0.6307727345418794,2078.0,standard,0.0,Sham,8.0,slice13_8Hz_inte3_0_15V,0.8464835930757382,0.2573728442537623,0.3040494185109789,-2.1621621621621623,14.129389216793472,6.53484251276698,0.7995484024589065,0.8355820059417126,37,24.0,8.0,8.0,2310798141.3753686,10615.72265625,124.0,152.0
.\11931666\slice14 16Hz inte3.0 15V.tif,Sham,14,16.0,0.4998370303146197,42.0,0.358971192533024,8.049208809201623,16.16132041564145,0.2696025294450395,0.1755183462367858,19,EXTREME_LAG,"(np.int64(61), np.int64(125), np.int64(2), np.int64(66))",0.4311780625354849,42.0,standard,-1564.0,Sham,16.0,slice14_16Hz_inte3_0_15V,0.784368332649021,0.2797028388039749,0.3565962917693832,1.7435897435897436,7.9363187433268765,4.551712220437473,0.964391088784718,0.9671465807666723,39,40.0,8.0,10.0,160.11095108132554,9795.47119140625,124.0,148.0
.\11931666\slice14 2Hz inte3.0 15V.tif,Sham,14,2.0,0.5416369577787491,54.0,0.4307822098101105,8.230213228749596,16.360941868013086,0.2842608593249509,0.2068801993150885,8,USABLE,"(np.int64(59), np.int64(123), np.int64(8), np.int64(72))",0.5904948662282081,54.0,standard,0.0,Sham,2.0,slice14_2Hz_inte3_0_15V,0.9011976708651208,0.18771568998689142,0.20829580019518956,1.5,2.0701966780270626,1.3801311186847085,0.9096561622241063,0.9877242107502733,8,352.0,16.0,38.0,6.920621521398885,11002.62451171875,382.0,440.0
.\11931666\slice14 8Hz inte3.0 15V.tif,Sham,14,8.0,0.8431825926680264,86.0,4.044560904128737,15.249995751197355,17.870009567755464,0.0556603386780245,0.0268338829019993,3,USABLE,"(np.int64(52), np.int64(116), 0, np.int64(64))",0.5379743696967954,86.0,standard,4.0,Sham,8.0,slice14_8Hz_inte3_0_15V,0.9181306048151038,0.1422673692513548,0.15495330240081157,4.857142857142857,15.936687923719346,3.2810828078245713,1.004698265699563,0.9991177067499823,14,84.0,8.0,10.0,574409877.3991416,11210.968017578125,122.0,164.0
.\11936610\slice15 16Hz inte3.0 15V.tif,Sham,15,16.0,0.6961341311722262,42.0,0.7043335924458981,10.228474532095138,16.463133878881212,0.2165011515237806,0.1507540116429231,63,USABLE,"(0, np.int64(64), np.int64(37), np.int64(101))",0.7102415468273041,42.0,standard,-40.0,Sham,16.0,slice15_16Hz_inte3_0_15V,0.6948154774994055,0.23470292496613007,0.33779173401664886,1.0666666666666667,7.995400976912239,7.495688415855224,0.9783274500156371,0.9817438653683538,30,60.0,4.0,8.0,164801546.06297705,6473.0224609375,94.0,122.0
.\11936610\slice15 2Hz inte3.0 15V.tif,Sham,15,2.0,0.4427895144188477,118.0,0.7384984830689489,6.126807578635085,16.502656135158553,0.2421118917710939,0.1740084991527251,14,USABLE,"(0, np.int64(64), np.int64(35), np.int64(99))",0.4416188235083119,118.0,standard,-116.0,Sham,2.0,slice15_2Hz_inte3_0_15V,0.552617862456917,0.2014968090620239,0.36462232358211716,1.0,1.8090680674665818,1.8090680674665818,0.7213863201111239,0.2966165812445124,12,334.0,10.0,32.0,122.00014026024579,7888.0615234375,388.0,412.0
.\11936610\slice15 4Hz inte3.0 15V.tif,Sham,15,4.0,0.332065552477546,6.0,0.8540389737842665,-2.418286897896025,14.238819302202256,0.2777764671645611,0.2409252352065266,3,LOW_SNR,"(np.int64(10), np.int64(74), np.int64(16), np.int64(80))",0.3669395104552166,6.0,standard,-4.0,Sham,4.0,slice15_4Hz_inte3_0_15V,0.5945052869276407,0.23091814493452092,0.3884206751598271,6.909090909090909,56.571113733874014,8.187924356218607,0.6256331707798658,0.9023323867839402,11,248.0,32.0,60.0,20.993331540295323,10885.3759765625,376.0,432.0
