filename,group,slice,pace_hz,plv,lag_ms,sigmamu,vm_snr,ca_snr,hysteresis_width_mean,hysteresis_width_std,hysteresis_n_cycles,quality_flag,roi,original_plv,original_lag_ms,original_assignment,lag_ms_reprocessed_bad,condition,frequency,base,plv_beat_mean,plv_beat_sd,plv_beat_cv,lag_beat_mean,lag_beat_sd,lag_beat_cv,ec_coupling_gain,ec_gain_r,ec_gain_n_beats,ca_ttp_ms,ca_t50_ms,ca_t90_ms,ca_tau_ms,vm_upstroke,vm_apd50_ms,vm_apd90_ms,plv_band_2hz,plv_band_4hz,plv_band_8hz,plv_band_16hz,orientation_frac_ccw,orientation_nbeats,ai_ca,ai_ca_n,ai_vm,ai_vm_n
.\11931666\slice1 16Hz inte3.0 15V.tif,Sham,1,16.0,0.5374720026496058,46.0,1.7053865153540453,6.309040721907423,16.006397210961914,0.1658208130614714,0.1086230928234638,15,EXTREME_LAG,"(np.int64(58), np.int64(122), np.int64(23), np.int64(87))",0.5770560433849384,46.0,standard,-2928.0,Sham,16.0,slice1_16Hz_inte3_0_15V,0.8061180391850813,0.1466100503751964,0.181871690309036,1.4814814814814814,1.9684115104936453,1.3286777695832108,0.8919843125930496,0.925996717291114,27,40.0,8.0,20.0,4226.503489973645,4577.5146484375,44.0,72.0,0.7004764078221939,0.610104898449827,0.1850558052988106,0.37850892616604603,0.9259259259259259,27.0,0.2800005849221266,26.0,0.2731597866498796,26.0
.\11931666\slice1 2Hz inte3.0 15V.tif,Sham,1,2.0,0.444425941832821,490.0,0.6759757247324132,3.989718757755241,16.222681481393554,0.1716781333144795,0.0967423308465975,3,LOW_SNR,"(np.int64(58), np.int64(122), np.int64(22), np.int64(86))",0.9171622414836575,490.0,standard,-108.0,Sham,2.0,slice1_2Hz_inte3_0_15V,0.5671979233123091,0.2702435745321354,0.4764537446716541,-17.666666666666668,60.16845040585992,3.4057613437279195,1.0447297509565197,0.9736659715365436,12,226.0,8.0,32.0,2.616519618389753,4804.6875,264.0,414.0,0.6527898753767308,0.5737122651486632,0.45344416973139356,0.4949563040839536,0.9166666666666666,12.0,0.4289014849796349,11.0,0.40211341901627246,11.0
.\11931666\slice1 4Hz inte3.0 15V.tif,Sham,1,4.0,0.6863431956421884,54.0,0.5815136592174588,7.474904894795741,16.326566901102893,0.1868270080378145,0.139818868743205,8,USABLE,"(np.int64(57), np.int64(121), np.int64(21), np.int64(85))",0.5645933118267746,54.0,standard,0.0,Sham,4.0,slice1_4Hz_inte3_0_15V,0.7891587315589966,0.2520567874434202,0.319399351947203,-7.764705882352941,28.44189122527875,3.662970839619233,0.9427294270380988,0.9806138311381892,17,132.0,8.0,32.0,90.9649315093635,5680.35888671875,164.0,288.0,0.5449693392507754,0.6419893174180056,0.3919003175363545,0.4763830416168204,0.8235294117647058,17.0,0.40871607981185903,16.0,0.46895051053003683,16.0
.\11931666\slice1 8Hz inte3.0 15V.tif,Sham,1,8.0,0.6609664385305747,86.0,0.9854684098261924,3.845473868928004,15.909279864375783,0.2004725689722123,0.1200047308960001,23,LOW_SNR,"(np.int64(58), np.int64(122), np.int64(21), np.int64(85))",0.4849272251671352,86.0,standard,-84.0,Sham,8.0,slice1_8Hz_inte3_0_15V,0.6672565815739054,0.3149861448386065,0.472061503081208,4.5,14.98083882547615,3.329075294550256,1.025325603287137,0.9802756664983372,48,50.0,4.0,8.0,269589870.6518762,3918.426513671875,60.0,96.0,0.2160777934776557,0.507610966488929,0.2592074376089075,0.05828137835251357,0.6041666666666666,48.0,0.19941507851013532,47.0,0.16003809033822566,47.0
.\11931666\slice10 16Hz inte3.0 15V.tif,Sham,10,16.0,0.5448343110872672,42.0,0.579882101879181,7.790408716670873,16.33095607266417,0.1888237946350301,0.088310115376484,13,USABLE,"(np.int64(39), np.int64(103), np.int64(6), np.int64(70))",0.4290622104995683,42.0,standard,-124.0,Sham,16.0,slice10_16Hz_inte3_0_15V,0.8543344652680342,0.2156706162308742,0.2524428370839643,0.0975609756097561,7.924029524329085,81.22130262437312,1.021669694525005,0.982953741296404,41,36.0,8.0,10.0,502501473.9882727,7956.35986328125,84.0,124.0,0.4253182781424174,0.6603670480840015,0.8053143632249904,0.7978207973791399,0.975609756097561,41.0,0.264222184195821,40.0,0.25269034755092895,40.0
.\11931666\slice10 2Hz inte3.0 15V.tif,Sham,10,2.0,0.4749291669690172,58.0,0.3760928845803377,7.66411522688572,16.200175662999293,0.3727229769378419,0.2036800639180477,8,USABLE,"(np.int64(42), np.int64(106), np.int64(6), np.int64(70))",0.320026398227468,58.0,standard,-176.0,Sham,2.0,slice10_2Hz_inte3_0_15V,0.6854503805880532,0.3628488722624665,0.5293583351010406,-26.22222222222222,83.18920870187698,3.1724698233766646,0.952535329184837,0.9777128317072772,9,348.0,16.0,28.0,16.988613537205335,9415.4052734375,312.0,376.0,0.23131302348134203,0.4107976357017635,0.7116568168249281,0.8909142687056363,1.0,9.0,0.25936488797345403,8.0,0.2676487530573515,8.0
.\11931666\slice10 4Hz inte3.0 15V.tif,Sham,10,4.0,0.845376102149503,74.0,0.7794189884360397,11.919073818720008,17.9697153957654,0.4870696274250214,0.0430251542442208,3,USABLE,"(np.int64(42), np.int64(106), np.int64(5), np.int64(69))",0.5251593688401234,74.0,standard,4.0,Sham,4.0,slice10_4Hz_inte3_0_15V,0.737728342235352,0.3115296666716461,0.4222823617263997,-4.235294117647059,47.38081021331936,11.187135744811515,1.0159372010988117,0.9861201304466104,17,172.0,6.0,10.0,13.205629888926582,9841.97998046875,204.0,228.0,0.47003002319654136,0.7483472321933629,0.7095002582377874,0.9012097257821295,1.0,17.0,0.24988889134929154,16.0,0.20390889222986872,16.0
.\11931666\slice10 8Hz inte3.0 15V.tif,Sham,10,8.0,0.5052096263700626,86.0,0.4212098680816519,6.628952691300302,16.060077294902392,0.1414557072352913,0.1137074711765187,29,USABLE,"(np.int64(39), np.int64(103), np.int64(5), np.int64(69))",0.4545642458929752,86.0,standard,-168.0,Sham,8.0,slice10_8Hz_inte3_0_15V,0.8205992867076537,0.2623900131866341,0.319754132664891,-0.5517241379310345,11.599218590973368,21.02358369613923,1.0799743260503658,0.9233436594534072,29,80.0,14.0,18.0,735.978116547343,9574.0966796875,124.0,168.0,0.46733244804289775,0.46566854408485675,0.731579819601407,0.685942357956128,1.0,29.0,0.16424619367242943,28.0,0.1430336421581043,28.0
.\11931666\slice11 16Hz inte3.0 15V.tif,Sham,11,16.0,0.515400388743109,46.0,0.4720362115720694,6.880818827793879,16.15656774034735,0.2364327162757203,0.1225600335711918,29,USABLE,"(np.int64(77), np.int64(141), 0, np.int64(47))",0.5230496169043957,46.0,standard,-144.0,Sham,16.0,slice11_16Hz_inte3_0_15V,0.7857934113958256,0.2840361408494801,0.3614641415037309,1.1538461538461535,6.548116374523183,5.675034191253427,1.0318679436574727,0.9805951847378688,52,12.0,8.0,12.0,386512516.4357759,8230.92586436178,74.0,96.0,0.7071930134689788,0.4356090596325802,0.8842371390167203,0.8526360031397408,0.9807692307692307,52.0,0.24238673546342662,51.0,0.24608855157344364,51.0
.\11931666\slice11 2Hz inte3.0 15V.tif,Sham,11,2.0,0.6834193750567233,50.0,0.5364466860600394,4.511251266965376,16.382098880671652,0.208068648760633,0.1615249591265239,9,LOW_SNR,"(np.int64(92), 150, 0, np.int64(55))",0.5884710255765192,50.0,standard,0.0,Sham,2.0,slice11_2Hz_inte3_0_15V,0.8798371772023612,0.1831695050045451,0.2081856845228721,1.3333333333333333,2.0,1.5,1.0305695259314809,0.9424451287052028,9,196.0,16.0,16.0,9.463140539218951,8898.86474609375,376.0,460.0,0.7741461549152269,0.5832710361073314,0.7577237428154424,0.775479523656185,1.0,9.0,0.18672462881152177,8.0,0.1712764034236226,8.0
