metric,n,AIC,BIC,p_condition,p_frequency,p_interaction
plv_beat_mean,108,,,0.687039902959617,0.012688694819805344,0.8445940403280549
vm_upstroke,108,,,0.9714036523008098,4.772388109782317e-08,0.9157071310159598
